省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
青海,移动,,,,,1389755,1399748,,,,,,,,,,1789967,,,1846743,,,,,
青海,移动,,,,,1389756,1399749,,,,,,,,,,1789968,,,1846744,,,,,
青海,移动,,,,,1389757,,,,,,,,,,,1789969,,,1846745,,,,,
青海,移动,,,,,1389758,,,,,,,,,,,1789970,,,1846746,,,,,
青海,移动,,,,,1389759,,,,,,,,,,,1789971,,,1846747,,,,,
青海,移动,,,,,1389760,,,,,,,,,,,1789972,,,1846748,,,,,
青海,移动,,,,,1389761,,,,,,,,,,,1789973,,,1846749,,,,,
青海,移动,,,,,1389762,,,,,,,,,,,1789974,,,1848064,,,,,
青海,移动,,,,,1389763,,,,,,,,,,,1789975,,,1848084,,,,,
青海,移动,,,,,1389764,,,,,,,,,,,1789976,,,1849139,,,,,
青海,移动,,,,,1389765,,,,,,,,,,,1789977,,,,,,,,
青海,移动,,,,,1389766,,,,,,,,,,,1789978,,,,,,,,
青海,移动,,,,,1389767,,,,,,,,,,,1789979,,,,,,,,
青海,移动,,,,,1389768,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389769,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389770,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389771,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389772,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389773,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389774,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389775,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389776,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389777,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389778,,,,,,,,,,,,,,,,,,,
青海,移动,,,,,1389779,,,,,,,,,,,,,,,,,,,
