省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
贵州,移动,,,,,1398542,1478572,,1508643,1512173,1528623,1576193,,,,,1728577,1788553,1821663,1837513,1848486,1876873,1888613,1958550,,1988574
贵州,移动,,,,,1398543,1478573,,1508644,1512174,1528624,1576194,,,,,1728578,1788554,1821664,1837514,1848487,1876874,1888614,1958551,,1988575
贵州,移动,,,,,1398544,1478574,,1508645,1512175,1528625,1576195,,,,,1728579,1788555,1821665,1837515,1848488,1876875,1888615,1958552,,1988576
贵州,移动,,,,,1398545,1478575,,1508646,1512176,1528626,1576196,,,,,1728580,1788556,1821666,1837516,1848489,1876876,1888616,1958553,,1988577
贵州,移动,,,,,1398546,1478576,,1508647,1512177,1528627,1576197,,,,,1728581,1788557,1821667,1837517,1848490,1876877,1888617,1958554,,1988578
贵州,移动,,,,,1398547,1478577,,1508648,1512178,1528628,1576198,,,,,1728582,1788558,1821668,1837518,1848491,1876878,1888618,1958555,,1988579
贵州,移动,,,,,1398548,1478578,,1508649,1512179,1528629,1576199,,,,,1728583,1788559,1821669,1837519,1848492,1876879,1888619,1958556,,1988580
贵州,移动,,,,,1398549,1478579,,1508650,1518070,1528630,1577200,,,,,1728584,1788560,1821670,1837520,1848493,1878500,1888620,1958557,,1988581
贵州,移动,,,,,1398550,1478580,,1508651,1518071,1528631,1577201,,,,,1728585,1788561,1821671,1837521,1848494,1878501,1888621,1958558,,1988582
贵州,移动,,,,,1398551,1478581,,1508652,1518072,1528632,1577202,,,,,1728586,1788562,1821672,1837522,1848495,1878502,1888622,1958559,,1988583
贵州,移动,,,,,1398552,1478582,,1508653,1518073,1528633,1577203,,,,,1728587,1788563,1821673,1837523,1848496,1878503,1888623,1958560,,1988584
贵州,移动,,,,,1398553,1478583,,1508654,1518074,1528634,1577204,,,,,1728588,1788564,1821674,1837524,1848497,1878504,1888624,1958561,,1988585
贵州,移动,,,,,1398554,1478584,,1508655,1518075,1528635,1577205,,,,,1728589,1788565,1821675,1837525,1848498,1878505,1888625,1958562,,1988586
贵州,移动,,,,,1398555,1478585,,1508656,1518076,1528636,1577206,,,,,1728590,1788566,1821676,1837526,1848499,1878506,1888626,1958563,,1988587
贵州,移动,,,,,1398556,1478586,,1508657,1518077,1528637,1577207,,,,,1728591,1788567,1821677,1837527,1848500,1878507,1888627,1958564,,1988588
贵州,移动,,,,,1398557,1478587,,1508658,1518078,1528638,1577208,,,,,1728592,1788568,1821678,1837528,1848501,1878508,1888628,1958565,,1988589
贵州,移动,,,,,1398558,1478588,,1508659,1518079,1528639,1577209,,,,,1728593,1788569,1821679,1837529,1848502,1878509,1888629,1958566,,1988590
贵州,移动,,,,,1398559,1478589,,,1518080,1528640,1577210,,,,,1728594,1788570,1821680,1838500,1848503,1878510,1888630,1958567,,1988591
贵州,移动,,,,,1398560,1478590,,,1518081,1528641,1577211,,,,,1728595,1788571,1821681,1838501,1848504,1878511,1888631,1958568,,1988592
贵州,移动,,,,,1398561,1478591,,,1518082,1528642,1577212,,,,,1728596,1788572,1821682,1838502,1848505,1878512,1888632,1958569,,1988593
贵州,移动,,,,,1398562,1478592,,,1518083,1528643,1577213,,,,,1728597,1788573,1821683,1838503,1848506,1878513,1888633,1958570,,1988594
贵州,移动,,,,,1398563,1478593,,,1518084,1528644,1577214,,,,,1728598,1788574,1821684,1838504,1848507,1878514,1888634,1958571,,1988595
贵州,移动,,,,,1398564,1478594,,,1518085,1528645,1577215,,,,,1728599,1788575,1821685,1838505,1848508,1878515,1888635,1958572,,1988596
贵州,移动,,,,,1398565,1478595,,,1518086,1528646,1577216,,,,,1728600,1788576,1821686,1838506,1848509,1878516,1888636,1958573,,1988597
贵州,移动,,,,,1398566,1478596,,,1518087,1528647,1577217,,,,,1728601,1788577,1821687,1838507,1848510,1878517,1888637,1958574,,1988598
贵州,移动,,,,,1398567,1478597,,,1518088,1528648,1577218,,,,,1728602,1788578,1821688,1838508,1848511,1878518,1888638,1958575,,1988599
贵州,移动,,,,,1398568,1478598,,,1518089,1528649,1577219,,,,,1728603,1788579,1821689,1838509,1848512,1878519,1888639,1958576,,1988670
贵州,移动,,,,,1398569,1478599,,,1518500,1528650,1577220,,,,,1728604,1788580,1821690,1838510,1848513,1878520,1888640,1958577,,1988671
贵州,移动,,,,,1398570,1478600,,,1518501,1528651,1577221,,,,,1728605,1788581,1821691,1838511,1848514,1878521,1888641,1958578,,1988672
贵州,移动,,,,,1398571,1478601,,,1518502,1528652,1577222,,,,,1728606,1788582,1821692,1838512,1848515,1878522,1888642,1958579,,1988673
贵州,移动,,,,,1398572,1478602,,,1518503,1528653,1577223,,,,,1728607,1788583,1821693,1838513,1848516,1878523,1888643,1958580,,1988674
贵州,移动,,,,,1398573,1478603,,,1518504,1528654,1577224,,,,,1728608,1788584,1821694,1838514,1848517,1878524,1888644,1958581,,1988675
贵州,移动,,,,,1398574,1478604,,,1518505,1528655,1577225,,,,,1728609,1788585,1821695,1838515,1848518,1878525,1888645,1958582,,1988676
贵州,移动,,,,,1398575,1478605,,,1518506,1528656,1577226,,,,,1728610,1788586,1821696,1838516,1848519,1878526,1888646,1958583,,1988677
贵州,移动,,,,,1398576,1478606,,,1518507,1528657,1577227,,,,,1728611,1788587,1821697,1838517,1848520,1878527,1888647,1958584,,1988678
贵州,移动,,,,,1398577,1478607,,,1518508,1528658,1577228,,,,,1728612,1788588,1821698,1838518,1848521,1878528,1888648,1958585,,1988679
贵州,移动,,,,,1398578,1478608,,,1518509,1528659,1577229,,,,,1728613,1788589,1821699,1838519,1848522,1878529,1888649,1958586,,1988680
贵州,移动,,,,,1398579,1478609,,,1518510,1528660,1577230,,,,,1728614,1788590,1822460,1838520,1848523,1878530,1888650,1958587,,1988681
贵州,移动,,,,,1398580,1478610,,,1518511,1528661,1577231,,,,,1728615,1788591,1822461,1838521,1848524,1878531,1888651,1958588,,1988682
贵州,移动,,,,,1398581,1478611,,,1518512,1528662,1577232,,,,,1728616,1788592,1822462,1838522,1848525,1878532,1888652,1958589,,1988683
贵州,移动,,,,,1398582,1478612,,,1518513,1528663,1577233,,,,,1728617,1788593,1822463,1838523,1848526,1878533,1888653,1958590,,1988684
贵州,移动,,,,,1398583,1478613,,,1518514,1528664,1577234,,,,,1728618,1788594,1822464,1838524,1848527,1878534,1888654,1958591,,1988685
贵州,移动,,,,,1398584,1478614,,,1518515,1528665,1577235,,,,,1728619,1788595,1822465,1838525,1848528,1878535,1888655,1958592,,1988686
贵州,移动,,,,,1398585,1478615,,,1518516,1528666,1577236,,,,,1728620,1788596,1822466,1838526,1848529,1878536,1888656,1958593,,1988687
贵州,移动,,,,,1398586,1478616,,,1518517,1528667,1577237,,,,,1728621,1788597,1822467,1838527,1848530,1878537,1888657,1958594,,1988688
贵州,移动,,,,,1398587,1478617,,,1518518,1528668,1577238,,,,,1728622,1788598,1822468,1838528,1848531,1878538,1888658,1958595,,1988689
贵州,移动,,,,,1398588,1478618,,,1518519,1528669,1577239,,,,,1728623,1788599,1822469,1838529,1848532,1878539,1888659,1958596,,1988690
贵州,移动,,,,,1398589,1478619,,,1518520,1528670,1577240,,,,,1728624,1788600,1822470,1838530,1848533,1878540,1888670,1958597,,1988691
贵州,移动,,,,,1398590,1478620,,,1518521,1528671,1577241,,,,,1728625,1788601,1822471,1838531,1848534,1878541,1888671,1958598,,1988692
贵州,移动,,,,,1398591,1478621,,,1518522,1528672,1577242,,,,,1728626,1788602,1822472,1838532,1848535,1878542,1888672,1958599,,1988693
贵州,移动,,,,,1398592,1478622,,,1518523,1528673,1577243,,,,,1728627,1788603,1822473,1838533,1848536,1878543,1888673,1959858,,1988694
贵州,移动,,,,,1398593,1478623,,,1518524,1528674,1577244,,,,,1728628,1788604,1822474,1838534,1848537,1878544,1888674,,,1988695
贵州,移动,,,,,1398594,1478624,,,1518525,1528675,1577245,,,,,1728629,1788605,1822475,1838535,1848538,1878545,1888675,,,1988696
贵州,移动,,,,,1398595,1478625,,,1518526,1528676,1577246,,,,,1728630,1788606,1822476,1838536,1848539,1878546,1888676,,,1988697
贵州,移动,,,,,1398596,1478626,,,1518527,1528677,1577247,,,,,1728631,1788607,1822477,1838537,1848540,1878547,1888677,,,1988698
贵州,移动,,,,,1398597,1478627,,,1518528,1528678,1577248,,,,,1728632,1788608,1822478,1838538,1848541,1878548,1888678,,,1988699
贵州,移动,,,,,1398598,1478628,,,1518529,1528679,1577249,,,,,1728633,1788609,1822479,1838539,1848542,1878549,1888679,,,
贵州,移动,,,,,1398599,1478629,,,1518530,,1577250,,,,,1728634,1788610,1822480,1838540,1848543,1878550,1888680,,,
贵州,移动,,,,,,,,,1518531,,1577251,,,,,1728635,1788611,1822481,1838541,1848544,1878551,1888681,,,
贵州,移动,,,,,,,,,1518532,,1577252,,,,,1728636,1788612,1822482,1838542,1848545,1878552,1888682,,,
贵州,移动,,,,,,,,,1518533,,1577253,,,,,1728637,1788613,1822483,1838543,1848546,1878553,1888683,,,
贵州,移动,,,,,,,,,1518534,,1577254,,,,,1728638,1788614,1822484,1838544,1848547,1878554,1888684,,,
贵州,移动,,,,,,,,,1518535,,1577255,,,,,1728639,1788615,1822485,1838545,1848548,1878555,1888685,,,
贵州,移动,,,,,,,,,1518536,,1577256,,,,,1728640,1788616,1822486,1838546,1848549,1878556,1888686,,,
贵州,移动,,,,,,,,,1518537,,1577257,,,,,1728641,1788617,1822487,1838547,1848550,1878557,1888687,,,
贵州,移动,,,,,,,,,1518538,,1577258,,,,,1728642,1788618,1822488,1838548,1848551,1878558,1888688,,,
贵州,移动,,,,,,,,,1518539,,1577259,,,,,1728643,1788619,1822489,1838549,1848552,1878559,1888689,,,
贵州,移动,,,,,,,,,1518540,,1577260,,,,,1728644,1788620,1822490,1838550,1848553,1878560,1888690,,,
贵州,移动,,,,,,,,,1518541,,1577261,,,,,1728645,1788621,1822491,1838551,1848554,1878561,1888691,,,
贵州,移动,,,,,,,,,1518542,,1577262,,,,,1728646,1788622,1822492,1838552,1848555,1878562,1888692,,,
贵州,移动,,,,,,,,,1518543,,1577263,,,,,1728647,1788623,1822493,1838553,1848556,1878563,1888693,,,
贵州,移动,,,,,,,,,1518544,,1577264,,,,,1728648,1788624,1822494,1838554,1848557,1878564,1888694,,,
