省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
江苏,联通,1300350,1311526,1321826,1450846,1460046,1550516,1560616,1660626,1670523,1710976,1750526,1760526,1850526,1860526,1965106
江苏,联通,1300351,1311527,1321827,1450847,1460047,1550517,1560617,1660627,1670524,1710977,1750527,1760527,1850527,1860527,1965107
江苏,联通,1300352,1311528,1321828,1450848,1460048,1550518,1560618,1660628,1670527,1710978,1750528,1760528,1850528,1860528,1965108
江苏,联通,1300353,1311529,1321829,1450849,1460049,1550519,1560619,1660629,1670804,1710979,1750529,1760529,1850529,1860529,1965109
江苏,联通,1300354,1314070,1321830,1450850,1460050,1550520,1560620,1660670,1671250,1710980,1750610,1760610,1850610,1860610,
江苏,联通,1300355,1314071,1321831,1450851,1460051,1550521,1560621,1660671,1671251,1710981,1750611,1760611,1850611,1860611,
江苏,联通,1300356,1314072,1321832,1450852,1460052,1550522,1560622,1660672,1671252,1710982,1750612,1760612,1850612,1860612,
江苏,联通,1300357,1314073,1321833,1450853,1460053,1550523,1560623,1660673,1671253,1710983,1750613,1760613,1850613,1860613,
江苏,联通,1300358,1314074,1321834,1450854,1460054,1550524,1560624,1660674,1671254,1710984,1750614,1760614,1850614,1860614,
江苏,联通,1300359,1314075,1321835,1450855,1460055,1550525,1560625,1660675,1671255,1710985,1750615,1760615,1850615,1860615,
江苏,联通,1300430,1314076,1321836,1450856,1460056,1550526,1560626,1660676,1671256,1710986,1750616,1760616,1850616,1860616,
江苏,联通,1300431,1314077,1321837,1450857,1460057,1550527,1560627,1660677,1671257,1710987,1750617,1760617,1850617,1860617,
江苏,联通,1300432,1314078,1321838,1450858,1460058,1550528,1560628,1660678,1671258,1710988,1750618,1760618,1850618,1860618,
江苏,联通,1300433,1314079,1321839,1450859,1460059,1550529,1560629,1660679,1671259,1710989,1750619,1760619,1850619,1860619,
江苏,联通,1300434,1314080,1321840,1450860,1460060,1550610,1565100,1661510,1671510,1711030,1751140,1761250,1850620,1860620,
江苏,联通,1300435,1314081,1321841,1450861,1460061,1550611,1565101,1661511,1671511,1711031,1751141,1761251,1850621,1860621,
江苏,联通,1300436,1314082,1321842,1450862,1460062,1550612,1565102,1661512,1671512,1711032,1751142,1761252,1850622,1860622,
江苏,联通,1300437,1314083,1321843,1450863,1460063,1550613,1565103,1661513,1671513,1711033,1751143,1761253,1850623,1860623,
江苏,联通,1300438,1314084,1321844,1450864,1460064,1550614,1565104,1661514,1671514,1711034,1751144,1761254,1850624,1860624,
江苏,联通,1300439,1314085,1321845,1450865,1460065,1550615,1565105,1661515,1671515,1711035,1751145,1761255,1850625,1860625,
江苏,联通,1300440,1314086,1321846,1450866,1460066,1550616,1565106,1661516,1671516,1711036,1751146,1761256,1850626,1860626,
江苏,联通,1300441,1314087,1321847,1450867,1460067,1550617,1565107,1661517,1671517,1711037,1751147,1761257,1850627,1860627,
江苏,联通,1300442,1314088,1321848,1450868,1460068,1550618,1565108,1661518,1671518,1711038,1751148,1761258,1850628,1860628,
江苏,联通,1300443,1314089,1321849,1450869,1460069,1550619,1565109,1661519,1671519,1711039,1751149,1761259,1850629,1860629,
江苏,联通,1300444,1314090,1321850,1450900,1460070,1550620,1565110,1661610,1671520,1711040,1751150,1762500,1851250,1862500,
江苏,联通,1300445,1314091,1321851,1450901,1460071,1550621,1565111,1661611,1671521,1711041,1751151,1762501,1851251,1862501,
江苏,联通,1300446,1314092,1321852,1450902,1460072,1550622,1565112,1661612,1671522,1711042,1751152,1762502,1851252,1862502,
江苏,联通,1300447,1314093,1321853,1450903,1460073,1550623,1565113,1661613,1671523,1711043,1751153,1762503,1851253,1862503,
江苏,联通,1300448,1314094,1321854,1450904,1460074,1550624,1565114,1661614,1671524,1711044,1751154,1762504,1851254,1862504,
江苏,联通,1300449,1314095,1321855,1450905,1460075,1550625,1565115,1661615,1671525,1711045,1751155,1762505,1851255,1862505,
江苏,联通,1300450,1314096,1321856,1450906,1460076,1550626,1565116,1661616,1671526,1711046,1751156,1762506,1851256,1862506,
江苏,联通,1300451,1314097,1321857,1450907,1460077,1550627,1565117,1661617,1671527,1711047,1751157,1762507,1851257,1862507,
江苏,联通,1300452,1314098,1321858,1450908,1460078,1550628,1565118,1661618,1671528,1711048,1751158,1762508,1851258,1862508,
江苏,联通,1300453,1314099,1321859,1450909,1460079,1550629,1565119,1661619,1671529,1711049,1751159,1762509,1851259,1862509,
江苏,联通,1300454,1314150,1321860,1450910,1460080,1559900,1565120,1665100,1672250,1711050,1751250,1762510,1854980,1862510,
江苏,联通,1300455,1314151,1321861,1450911,1460081,1559901,1565121,1665101,1672251,1711051,1751251,1762511,1854981,1862511,
江苏,联通,1300456,1314152,1321862,1450912,1460082,1559902,1565122,1665102,1672252,1711052,1751252,1762512,1854982,1862512,
江苏,联通,1300457,1314153,1321863,1450913,1460083,1559903,1565123,1665103,1672253,1711053,1751253,1762513,1854983,1862513,
江苏,联通,1300458,1314156,1321864,1450914,1460084,1559904,1565124,1665104,1672254,1711054,1751254,1762514,1854984,1862514,
江苏,联通,1300459,1314157,1321865,1450915,1460085,1559905,1565125,1665105,1672255,1711055,1751255,1762515,1854985,1862515,
江苏,联通,1301033,1314158,1321866,1450916,1460086,1559906,1565126,1665106,1672256,1711056,1751256,1762516,1854986,1862516,
江苏,联通,1301034,1314165,1321867,1450917,1460087,1559907,1565127,1665107,1672257,1711057,1751257,1762517,1854987,1862517,
江苏,联通,1301035,1314166,1321868,1450918,1460088,1559908,1565128,1665108,1672258,1711058,1751258,1762518,1854988,1862518,
江苏,联通,1301043,1314167,1321869,1450919,1460089,1559909,1565129,1665109,1672259,1711059,1751259,1762519,1854989,1862519,
江苏,联通,1301044,1314168,1321870,1450920,1460090,,1565130,1665110,1672510,1711060,1751260,1762520,1854990,1862520,
江苏,联通,1301045,1314169,1321871,1450921,1460091,,1565131,1665111,1672511,1711061,1751261,1762521,1854991,1862521,
江苏,联通,1301360,1314172,1321872,1450922,1460092,,1565132,1665112,1672512,1711062,1751262,1762522,1854992,1862522,
江苏,联通,1301361,1314173,1321873,1450923,1460093,,1565133,1665113,1672513,1711063,1751263,1762523,1854993,1862523,
江苏,联通,1301362,1314174,1321874,1450924,1460094,,1565134,1665114,1672514,1711064,1751264,1762524,1854994,1862524,
江苏,联通,1301363,1314180,1321875,1450925,1460095,,1565135,1665115,1672515,1711065,1751265,1762525,1854995,1862525,
江苏,联通,1301364,1314181,1321876,1450926,1460096,,1565136,1665116,1672516,1711066,1751266,1762526,1854996,1862526,
江苏,联通,1301365,1314182,1321877,1450927,1460097,,1565137,1665117,1672517,1711067,1751267,1762527,1854997,1862527,
江苏,联通,1301366,1314183,1321878,1450928,1460098,,1565138,1665118,1672518,1711068,1751268,1762528,1854998,1862528,
江苏,联通,1301367,1314184,1321879,1450929,1460099,,1565139,1665119,1672519,1711069,1751269,1762529,1854999,1862529,
江苏,联通,1301368,1314185,1321880,1450930,1460100,,1565140,1665120,1672520,1711990,1755100,1762530,1855000,1862600,
江苏,联通,1301369,1314186,1321881,1450931,1460101,,1565141,1665121,1672521,1711991,1755101,1762531,1855001,1862601,
江苏,联通,1301370,1314187,1321882,1450932,1460102,,1565142,1665122,1672522,1711992,1755102,1762532,1855002,1862602,
江苏,联通,1301371,1314188,1321883,1450933,1460103,,1565143,1665123,1672523,1711993,1755103,1762533,1855003,1862603,
江苏,联通,1301372,1314189,1321884,1450934,1460104,,1565144,1665124,1672524,1711994,1755104,1762534,1855004,1862604,
江苏,联通,1301373,1314190,1321885,1450935,1460105,,1565145,1665125,1672525,1711995,1755105,1762535,1855005,1862605,
江苏,联通,1301374,1314191,1321886,1450936,1460106,,1565146,1665126,1672526,1711996,1755106,1762536,1855006,1862606,
江苏,联通,1301375,1314198,1321887,1450937,1460107,,1565147,1665127,1672527,1711997,1755107,1762537,1855007,1862607,
江苏,联通,1301376,1314199,1321888,1450938,1460108,,1565148,1665128,1672528,1711998,1755108,1762538,1855008,1862608,
江苏,联通,1301377,1314250,1321889,1450939,1460109,,1565149,1665129,1672529,1711999,1755109,1762539,1855009,1862609,
江苏,联通,1301378,1314251,1321890,1450940,1460110,,1565150,1665130,1673140,1712330,1755110,1762540,1855010,1862610,
江苏,联通,1301379,1314252,1321891,1450941,1460111,,1565151,1665131,1673141,1712331,1755111,1762541,1855011,1862611,
江苏,联通,1301380,1314253,1321892,1450942,1460112,,1565152,1665132,1673142,1712332,1755112,1762542,1855012,1862612,
江苏,联通,1301381,1314254,1321893,1450943,1460113,,1565153,1665133,1673143,1712333,1755113,1762543,1855013,1862613,
