省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
新疆,联通,1304051,1313975,1320996,1452796,1556906,1568486,1666935,,1759036,1769027,1859907,1869066,
新疆,联通,1304052,1313976,1320997,1452797,1556907,1568487,1666936,,1759037,1769028,1859908,1869067,
新疆,联通,1304053,1313977,1320998,1452798,1556908,1568488,1666937,,1759038,1769029,1859909,1869068,
新疆,联通,1304054,1313978,1320999,1452799,1556909,1568489,1666938,,1759039,1769030,1859910,1869069,
新疆,联通,1304055,1313979,1323900,1453790,1556910,1568830,1666939,,1759040,1769031,1859911,1869080,
新疆,联通,1304056,1313980,1323901,1453791,1556911,1568831,1666940,,1759041,1769032,1859912,1869081,
新疆,联通,1304057,1313981,1323902,1453792,1556912,1568832,1666941,,1759042,1769033,1859913,1869082,
新疆,联通,1304058,1313982,1323903,1453793,1556913,1568833,1666942,,1759043,1769034,1859914,1869083,
新疆,联通,1304059,1313983,1323904,1453794,1556914,1568834,1666943,,1759044,1769035,1859915,1869084,
新疆,联通,1307000,1313984,1323905,1453795,1556915,1568835,1666944,,1759045,1769036,1859916,1869085,
新疆,联通,1307001,1313985,1323906,1453796,1556916,1568836,1666945,,1759046,1769037,1859917,1869086,
新疆,联通,1307002,1313986,1323907,1453797,1556917,1568837,1666946,,1759047,1769038,1859918,1869087,
新疆,联通,1307003,1313987,1323908,1453798,1556918,1568838,1666947,,1759048,1769039,1859919,1869088,
新疆,联通,1307004,1313988,1323909,1453799,1556919,1568839,1666948,,1759049,1769040,1859920,1869089,
新疆,联通,1307005,1313989,1323970,1454540,1556920,1569900,1666949,,1759050,1769041,1859921,1869090,
新疆,联通,1307006,1313990,1323971,1454541,1556921,1569901,1666950,,1759051,1769042,1859922,1869091,
新疆,联通,1307007,1313991,1323972,1454542,1556922,1569902,1666951,,1759052,1769043,1859923,1869092,
新疆,联通,1307008,1313992,1323973,1454543,1556923,1569903,1666952,,1759053,1769044,1859924,1869093,
新疆,联通,1307009,1313993,1323974,1454544,1556924,1569904,1666953,,1759054,1769045,1859925,1869094,
新疆,联通,1307030,1313994,1323975,1454545,1556925,1569905,1666954,,1759055,1769046,1859926,1869095,
新疆,联通,1307031,1313995,1323976,1454546,1556926,1569906,1666955,,1759056,1769047,1859927,1869096,
新疆,联通,1307032,1313996,1323977,1454547,1556927,1569907,1666956,,1759057,1769048,1859928,1869097,
新疆,联通,1307033,1313997,1323978,1454548,1556928,1569908,1666957,,1759058,1769049,1859929,1869098,
新疆,联通,1307034,1313998,1323979,1454549,1556929,1569909,1666958,,1759059,1769050,1859930,1869099,
新疆,联通,1307035,1313999,1323980,1454550,1556930,1569910,1666959,,1759060,1769051,1859931,1869900,
新疆,联通,1307036,1315020,1323981,1454551,1556931,1569911,1666960,,1759061,1769052,1859932,1869901,
新疆,联通,1307037,1315021,1323982,1454552,1556932,1569912,1666961,,1759062,1769053,1859933,1869902,
新疆,联通,1307038,1315022,1323983,1454553,1556933,1569913,1666962,,1759063,1769054,1859934,1869903,
