省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1332561,1538497,1739761,1776751,1804091,1811920,1899761,1902901,1919021,1931691,1994581
新疆,电信,1332562,1538498,1739762,1776752,1804092,1811921,1899762,1902902,1919022,1931692,1994582
新疆,电信,1332563,1538499,1739763,1776753,1804093,1811922,1899763,1902903,1919023,1931693,1994583
新疆,电信,1332564,1538990,1739764,1776754,1804094,1811923,1899764,1902904,1919024,1931694,1994584
新疆,电信,1332565,1538991,1739765,1776755,1804095,1811924,1899765,1902905,1919025,1931695,1994585
新疆,电信,1332566,1538992,1739766,1776756,1804096,1811925,1899766,1902906,1919026,1931696,1994586
新疆,电信,1332567,1538993,1739767,1776757,1804097,1811926,1899767,1902907,1919027,1931697,1994587
新疆,电信,1332568,1538994,1739768,1776758,1804098,1811927,1899768,1902908,1919028,1931698,1994588
新疆,电信,1332569,1538995,1739769,1776759,1804099,1811928,1899769,1902909,1919029,1931699,1994589
新疆,电信,1334530,1538996,1739770,1776760,1808280,1811929,1899770,1903970,1919030,1931760,1999010
新疆,电信,1334531,1538997,1739771,1776761,1808281,1812900,1899771,1903971,1919031,1931761,1999011
新疆,电信,1334532,1538998,1739772,1776762,1808282,1812901,1899772,1903972,1919032,1931762,1999012
新疆,电信,1334533,1538999,1739773,1776763,1808283,1812902,1899773,1903973,1919033,1931763,1999013
新疆,电信,1334534,,1739774,1776764,1808284,1812903,1899774,1903974,1919034,1931764,1999014
新疆,电信,1334535,,1739775,1776765,1808285,1812904,1899775,1903975,1919035,1931765,1999015
新疆,电信,1334536,,1739776,1776766,1808286,1812905,1899776,1903976,1919036,1931766,1999016
新疆,电信,1334537,,1739777,1776767,1808287,1812906,1899777,1903977,1919037,1931767,1999017
新疆,电信,1334538,,1739778,1776768,1808288,1812907,1899778,1903978,1919038,1931768,1999018
新疆,电信,1334539,,1739779,1776769,1808289,1812908,1899779,1903979,1919039,1931769,1999019
新疆,电信,1334540,,1739780,1779480,1808390,1812909,1899780,1903980,1919040,1931770,1999020
新疆,电信,1334541,,1739781,1779481,1808391,1812910,1899781,1903981,1919041,1931771,1999021
新疆,电信,1334542,,1739782,1779482,1808392,1812911,1899782,1903982,1919042,1931772,1999022
新疆,电信,1334543,,1739783,1779483,1808393,1812912,1899783,1903983,1919043,1931773,1999023
新疆,电信,1334544,,1739784,1779484,1808394,1812913,1899784,1903984,1919044,1931774,1999024
新疆,电信,1334545,,1739785,1779485,1808395,1812914,1899785,1903985,1919045,1931775,1999025
新疆,电信,1334546,,1739786,1779486,1808396,1812915,1899786,1903986,1919046,1931776,1999026
新疆,电信,1334547,,1739787,1779487,1808397,1812916,1899787,1903987,1919047,1931777,1999027
