省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,,,,,,1816055,,,,1939092,
新疆,电信,,,,,,1816056,,,,1939093,
新疆,电信,,,,,,1816057,,,,1939094,
新疆,电信,,,,,,1816058,,,,1939095,
新疆,电信,,,,,,1816059,,,,1939096,
新疆,电信,,,,,,1816060,,,,1939097,
新疆,电信,,,,,,1816061,,,,1939098,
新疆,电信,,,,,,1816062,,,,1939099,
新疆,电信,,,,,,1816063,,,,1939910,
新疆,电信,,,,,,1816064,,,,1939911,
新疆,电信,,,,,,1816065,,,,1939912,
新疆,电信,,,,,,1816066,,,,1939913,
新疆,电信,,,,,,1816067,,,,1939914,
新疆,电信,,,,,,1816068,,,,1939915,
新疆,电信,,,,,,1816069,,,,1939916,
新疆,电信,,,,,,1816490,,,,1939917,
新疆,电信,,,,,,1816491,,,,1939918,
新疆,电信,,,,,,1816492,,,,1939919,
新疆,电信,,,,,,1816493,,,,1939920,
新疆,电信,,,,,,1816494,,,,1939921,
新疆,电信,,,,,,1816495,,,,1939922,
新疆,电信,,,,,,1816496,,,,1939923,
新疆,电信,,,,,,1816497,,,,1939924,
新疆,电信,,,,,,1816498,,,,1939925,
新疆,电信,,,,,,1816499,,,,1939926,
新疆,电信,,,,,,1816740,,,,1939927,
新疆,电信,,,,,,1816741,,,,1939928,
新疆,电信,,,,,,1816742,,,,1939929,
新疆,电信,,,,,,1816743,,,,1939940,
新疆,电信,,,,,,1816744,,,,1939941,
新疆,电信,,,,,,1816745,,,,1939942,
新疆,电信,,,,,,1816746,,,,1939943,
新疆,电信,,,,,,1816747,,,,1939944,
新疆,电信,,,,,,1816748,,,,1939945,
新疆,电信,,,,,,1816749,,,,1939946,
新疆,电信,,,,,,1816750,,,,1939947,
新疆,电信,,,,,,1816751,,,,1939948,
新疆,电信,,,,,,1816752,,,,1939949,
新疆,电信,,,,,,1816753,,,,1939950,
新疆,电信,,,,,,1816754,,,,1939951,
新疆,电信,,,,,,1816755,,,,1939952,
新疆,电信,,,,,,1816756,,,,1939953,
新疆,电信,,,,,,1816757,,,,1939954,
新疆,电信,,,,,,1816758,,,,1939955,
新疆,电信,,,,,,1816759,,,,1939956,
新疆,电信,,,,,,1816760,,,,1939957,
新疆,电信,,,,,,1816761,,,,1939958,
新疆,电信,,,,,,1816762,,,,1939959,
新疆,电信,,,,,,1816763,,,,1939970,
新疆,电信,,,,,,1816764,,,,1939971,
新疆,电信,,,,,,1816765,,,,1939972,
新疆,电信,,,,,,1816766,,,,1939973,
新疆,电信,,,,,,1816767,,,,1939974,
新疆,电信,,,,,,1816768,,,,1939975,
新疆,电信,,,,,,1816769,,,,1939976,
新疆,电信,,,,,,1816770,,,,1939977,
新疆,电信,,,,,,1816771,,,,1939978,
新疆,电信,,,,,,1816772,,,,1939979,
新疆,电信,,,,,,1816773,,,,1939980,
新疆,电信,,,,,,1816774,,,,1939981,
新疆,电信,,,,,,1816775,,,,1939982,
新疆,电信,,,,,,1816776,,,,1939983,
新疆,电信,,,,,,1816777,,,,1939984,
新疆,电信,,,,,,1816778,,,,1939985,
新疆,电信,,,,,,1816779,,,,1939986,
新疆,电信,,,,,,1816780,,,,1939987,
新疆,电信,,,,,,1816781,,,,1939988,
新疆,电信,,,,,,1816782,,,,1939989,
新疆,电信,,,,,,1816783,,,,,
新疆,电信,,,,,,1816784,,,,,
新疆,电信,,,,,,1816785,,,,,
新疆,电信,,,,,,1816786,,,,,
新疆,电信,,,,,,1816787,,,,,
新疆,电信,,,,,,1816788,,,,,
新疆,电信,,,,,,1816789,,,,,
新疆,电信,,,,,,1816790,,,,,
新疆,电信,,,,,,1816791,,,,,
新疆,电信,,,,,,1816792,,,,,
新疆,电信,,,,,,1816793,,,,,
新疆,电信,,,,,,1816794,,,,,
新疆,电信,,,,,,1816795,,,,,
新疆,电信,,,,,,1816796,,,,,
新疆,电信,,,,,,1816797,,,,,
新疆,电信,,,,,,1816798,,,,,
新疆,电信,,,,,,1816799,,,,,
新疆,电信,,,,,,1819480,,,,,
新疆,电信,,,,,,1819481,,,,,
新疆,电信,,,,,,1819482,,,,,
新疆,电信,,,,,,1819483,,,,,
新疆,电信,,,,,,1819484,,,,,
新疆,电信,,,,,,1819485,,,,,
新疆,电信,,,,,,1819486,,,,,
新疆,电信,,,,,,1819487,,,,,
新疆,电信,,,,,,1819488,,,,,
新疆,电信,,,,,,1819489,,,,,
新疆,电信,,,,,,1819490,,,,,
新疆,电信,,,,,,1819491,,,,,
新疆,电信,,,,,,1819492,,,,,
新疆,电信,,,,,,1819493,,,,,
新疆,电信,,,,,,1819494,,,,,
新疆,电信,,,,,,1819495,,,,,
新疆,电信,,,,,,1819496,,,,,
新疆,电信,,,,,,1819497,,,,,
新疆,电信,,,,,,1819498,,,,,
新疆,电信,,,,,,1819499,,,,,
新疆,电信,,,,,,1819580,,,,,
新疆,电信,,,,,,1819581,,,,,
新疆,电信,,,,,,1819582,,,,,
新疆,电信,,,,,,1819583,,,,,
新疆,电信,,,,,,1819584,,,,,
新疆,电信,,,,,,1819585,,,,,
新疆,电信,,,,,,1819586,,,,,
新疆,电信,,,,,,1819587,,,,,
新疆,电信,,,,,,1819588,,,,,
新疆,电信,,,,,,1819589,,,,,
新疆,电信,,,,,,1819590,,,,,
新疆,电信,,,,,,1819591,,,,,
新疆,电信,,,,,,1819592,,,,,
新疆,电信,,,,,,1819593,,,,,
新疆,电信,,,,,,1819594,,,,,
新疆,电信,,,,,,1819595,,,,,
新疆,电信,,,,,,1819596,,,,,
新疆,电信,,,,,,1819597,,,,,
新疆,电信,,,,,,1819598,,,,,
新疆,电信,,,,,,1819599,,,,,
新疆,电信,,,,,,1819600,,,,,
新疆,电信,,,,,,1819601,,,,,
新疆,电信,,,,,,1819602,,,,,
新疆,电信,,,,,,1819603,,,,,
新疆,电信,,,,,,1819604,,,,,
新疆,电信,,,,,,1819605,,,,,
新疆,电信,,,,,,1819606,,,,,
新疆,电信,,,,,,1819607,,,,,
新疆,电信,,,,,,1819608,,,,,
新疆,电信,,,,,,1819609,,,,,
新疆,电信,,,,,,1819610,,,,,
新疆,电信,,,,,,1819611,,,,,
新疆,电信,,,,,,1819612,,,,,
新疆,电信,,,,,,1819613,,,,,
新疆,电信,,,,,,1819614,,,,,
新疆,电信,,,,,,1819615,,,,,
新疆,电信,,,,,,1819616,,,,,
新疆,电信,,,,,,1819617,,,,,
新疆,电信,,,,,,1819618,,,,,
新疆,电信,,,,,,1819619,,,,,
新疆,电信,,,,,,1819620,,,,,
新疆,电信,,,,,,1819621,,,,,
新疆,电信,,,,,,1819622,,,,,
新疆,电信,,,,,,1819623,,,,,
新疆,电信,,,,,,1819624,,,,,
新疆,电信,,,,,,1819625,,,,,
新疆,电信,,,,,,1819626,,,,,
新疆,电信,,,,,,1819627,,,,,
新疆,电信,,,,,,1819628,,,,,
新疆,电信,,,,,,1819629,,,,,
新疆,电信,,,,,,1819630,,,,,
新疆,电信,,,,,,1819631,,,,,
新疆,电信,,,,,,1819632,,,,,
新疆,电信,,,,,,1819633,,,,,
新疆,电信,,,,,,1819634,,,,,
新疆,电信,,,,,,1819635,,,,,
新疆,电信,,,,,,1819636,,,,,
新疆,电信,,,,,,1819637,,,,,
新疆,电信,,,,,,1819638,,,,,
新疆,电信,,,,,,1819639,,,,,
新疆,电信,,,,,,1819640,,,,,
新疆,电信,,,,,,1819641,,,,,
新疆,电信,,,,,,1819642,,,,,
新疆,电信,,,,,,1819643,,,,,
新疆,电信,,,,,,1819644,,,,,
新疆,电信,,,,,,1819645,,,,,
新疆,电信,,,,,,1819646,,,,,
新疆,电信,,,,,,1819647,,,,,
新疆,电信,,,,,,1819648,,,,,
新疆,电信,,,,,,1819649,,,,,
新疆,电信,,,,,,1819680,,,,,
新疆,电信,,,,,,1819681,,,,,
新疆,电信,,,,,,1819682,,,,,
新疆,电信,,,,,,1819683,,,,,
新疆,电信,,,,,,1819684,,,,,
新疆,电信,,,,,,1819685,,,,,
新疆,电信,,,,,,1819686,,,,,
新疆,电信,,,,,,1819687,,,,,
新疆,电信,,,,,,1819688,,,,,
新疆,电信,,,,,,1819689,,,,,
新疆,电信,,,,,,1819690,,,,,
新疆,电信,,,,,,1819691,,,,,
新疆,电信,,,,,,1819692,,,,,
新疆,电信,,,,,,1819693,,,,,
新疆,电信,,,,,,1819694,,,,,
新疆,电信,,,,,,1819695,,,,,
新疆,电信,,,,,,1819696,,,,,
新疆,电信,,,,,,1819697,,,,,
新疆,电信,,,,,,1819698,,,,,
新疆,电信,,,,,,1819699,,,,,
新疆,电信,,,,,,1819750,,,,,
新疆,电信,,,,,,1819751,,,,,
新疆,电信,,,,,,1819752,,,,,
新疆,电信,,,,,,1819753,,,,,
新疆,电信,,,,,,1819754,,,,,
新疆,电信,,,,,,1819755,,,,,
新疆,电信,,,,,,1819756,,,,,
新疆,电信,,,,,,1819757,,,,,
新疆,电信,,,,,,1819758,,,,,
新疆,电信,,,,,,1819759,,,,,
新疆,电信,,,,,,1819760,,,,,
新疆,电信,,,,,,1819761,,,,,
新疆,电信,,,,,,1819762,,,,,
新疆,电信,,,,,,1819763,,,,,
新疆,电信,,,,,,1819764,,,,,
新疆,电信,,,,,,1819765,,,,,
新疆,电信,,,,,,1819766,,,,,
新疆,电信,,,,,,1819767,,,,,
新疆,电信,,,,,,1819768,,,,,
新疆,电信,,,,,,1819769,,,,,
新疆,电信,,,,,,1819770,,,,,
新疆,电信,,,,,,1819771,,,,,
新疆,电信,,,,,,1819772,,,,,
新疆,电信,,,,,,1819773,,,,,
新疆,电信,,,,,,1819774,,,,,
新疆,电信,,,,,,1819775,,,,,
新疆,电信,,,,,,1819776,,,,,
新疆,电信,,,,,,1819777,,,,,
新疆,电信,,,,,,1819778,,,,,
新疆,电信,,,,,,1819779,,,,,
新疆,电信,,,,,,1819780,,,,,
新疆,电信,,,,,,1819781,,,,,
新疆,电信,,,,,,1819782,,,,,
新疆,电信,,,,,,1819783,,,,,
新疆,电信,,,,,,1819784,,,,,
新疆,电信,,,,,,1819785,,,,,
新疆,电信,,,,,,1819786,,,,,
新疆,电信,,,,,,1819787,,,,,
新疆,电信,,,,,,1819788,,,,,
新疆,电信,,,,,,1819789,,,,,
新疆,电信,,,,,,1819790,,,,,
新疆,电信,,,,,,1819791,,,,,
新疆,电信,,,,,,1819792,,,,,
新疆,电信,,,,,,1819793,,,,,
新疆,电信,,,,,,1819794,,,,,
新疆,电信,,,,,,1819795,,,,,
新疆,电信,,,,,,1819796,,,,,
新疆,电信,,,,,,1819797,,,,,
新疆,电信,,,,,,1819798,,,,,
新疆,电信,,,,,,1819799,,,,,
新疆,电信,,,,,,1819900,,,,,
新疆,电信,,,,,,1819901,,,,,
新疆,电信,,,,,,1819902,,,,,
新疆,电信,,,,,,1819903,,,,,
新疆,电信,,,,,,1819904,,,,,
新疆,电信,,,,,,1819905,,,,,
新疆,电信,,,,,,1819906,,,,,
新疆,电信,,,,,,1819907,,,,,
新疆,电信,,,,,,1819908,,,,,
新疆,电信,,,,,,1819909,,,,,
新疆,电信,,,,,,1819910,,,,,
新疆,电信,,,,,,1819911,,,,,
新疆,电信,,,,,,1819912,,,,,
新疆,电信,,,,,,1819913,,,,,
新疆,电信,,,,,,1819914,,,,,
新疆,电信,,,,,,1819915,,,,,
新疆,电信,,,,,,1819916,,,,,
新疆,电信,,,,,,1819917,,,,,
新疆,电信,,,,,,1819918,,,,,
新疆,电信,,,,,,1819919,,,,,
新疆,电信,,,,,,1819920,,,,,
新疆,电信,,,,,,1819921,,,,,
新疆,电信,,,,,,1819922,,,,,
新疆,电信,,,,,,1819923,,,,,
新疆,电信,,,,,,1819924,,,,,
新疆,电信,,,,,,1819925,,,,,
新疆,电信,,,,,,1819926,,,,,
新疆,电信,,,,,,1819927,,,,,
新疆,电信,,,,,,1819928,,,,,
新疆,电信,,,,,,1819929,,,,,
新疆,电信,,,,,,1819930,,,,,
新疆,电信,,,,,,1819931,,,,,
新疆,电信,,,,,,1819932,,,,,
新疆,电信,,,,,,1819933,,,,,
新疆,电信,,,,,,1819934,,,,,
新疆,电信,,,,,,1819935,,,,,
新疆,电信,,,,,,1819936,,,,,
新疆,电信,,,,,,1819937,,,,,
新疆,电信,,,,,,1819938,,,,,
新疆,电信,,,,,,1819939,,,,,
新疆,电信,,,,,,1819940,,,,,
新疆,电信,,,,,,1819941,,,,,
新疆,电信,,,,,,1819942,,,,,
新疆,电信,,,,,,1819943,,,,,
新疆,电信,,,,,,1819944,,,,,
新疆,电信,,,,,,1819945,,,,,
新疆,电信,,,,,,1819946,,,,,
新疆,电信,,,,,,1819947,,,,,
新疆,电信,,,,,,1819948,,,,,
新疆,电信,,,,,,1819949,,,,,
新疆,电信,,,,,,1819950,,,,,
新疆,电信,,,,,,1819951,,,,,
新疆,电信,,,,,,1819952,,,,,
新疆,电信,,,,,,1819953,,,,,
新疆,电信,,,,,,1819954,,,,,
新疆,电信,,,,,,1819955,,,,,
新疆,电信,,,,,,1819956,,,,,
新疆,电信,,,,,,1819957,,,,,
新疆,电信,,,,,,1819958,,,,,
新疆,电信,,,,,,1819959,,,,,
新疆,电信,,,,,,1819960,,,,,
新疆,电信,,,,,,1819961,,,,,
新疆,电信,,,,,,1819962,,,,,
新疆,电信,,,,,,1819963,,,,,
新疆,电信,,,,,,1819964,,,,,
新疆,电信,,,,,,1819965,,,,,
新疆,电信,,,,,,1819966,,,,,
新疆,电信,,,,,,1819967,,,,,
新疆,电信,,,,,,1819968,,,,,
新疆,电信,,,,,,1819969,,,,,
新疆,电信,,,,,,1819970,,,,,
新疆,电信,,,,,,1819971,,,,,
新疆,电信,,,,,,1819972,,,,,
新疆,电信,,,,,,1819973,,,,,
新疆,电信,,,,,,1819974,,,,,
新疆,电信,,,,,,1819975,,,,,
新疆,电信,,,,,,1819976,,,,,
新疆,电信,,,,,,1819977,,,,,
新疆,电信,,,,,,1819978,,,,,
新疆,电信,,,,,,1819979,,,,,
新疆,电信,,,,,,1819980,,,,,
新疆,电信,,,,,,1819981,,,,,
新疆,电信,,,,,,1819982,,,,,
新疆,电信,,,,,,1819983,,,,,
新疆,电信,,,,,,1819984,,,,,
新疆,电信,,,,,,1819985,,,,,
新疆,电信,,,,,,1819986,,,,,
新疆,电信,,,,,,1819987,,,,,
新疆,电信,,,,,,1819988,,,,,
新疆,电信,,,,,,1819989,,,,,
新疆,电信,,,,,,1819990,,,,,
新疆,电信,,,,,,1819991,,,,,
新疆,电信,,,,,,1819992,,,,,
新疆,电信,,,,,,1819993,,,,,
新疆,电信,,,,,,1819994,,,,,
新疆,电信,,,,,,1819995,,,,,
新疆,电信,,,,,,1819996,,,,,
新疆,电信,,,,,,1819997,,,,,
新疆,电信,,,,,,1819998,,,,,
新疆,电信,,,,,,1819999,,,,,
