省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
甘肃,移动,,1351961,1363931,,1383019,1391909,1471711,1500941,1510171,1521391,1571931,,,1706205,1727898,1783401,1821511,1839301,1841811,1871951,1889311,1951431,1972725,1981597
甘肃,移动,,1351962,1363932,,1383020,1391910,1471712,1500942,1510172,1521392,1571932,,,1706206,1729626,1783402,1821512,1839302,1841812,1871952,1889312,1951432,1972726,1981598
甘肃,移动,,1351963,1363933,,1383021,1391911,1471713,1500943,1510173,1521393,1571933,,,1706207,1729710,1783403,1821513,1839303,1841813,1871953,1889313,1951433,1972930,1981599
甘肃,移动,,1351964,1363934,,1383022,1391912,1471714,1500944,1510174,1521394,1571934,,,1706208,1729711,1783404,1821514,1839304,1841814,1871954,1889314,1951434,1972931,1989060
甘肃,移动,,1351965,1363935,,1383023,1391913,1471715,1500945,1510175,1521395,1571935,,,1706209,1729712,1783405,1821515,1839305,1841815,1871955,1889315,1951435,1972934,1989061
甘肃,移动,,1351966,1363936,,1383024,1391914,1471716,1500946,1510176,1521396,1571936,,,1706210,1729713,1783406,1821516,1839306,1841816,1871956,1889316,1951436,1972941,1989062
甘肃,移动,,1351967,1363937,,1383025,1391915,1471717,1500947,1510177,1521397,1571937,,,1706211,1729714,1783407,1821517,1839307,1841817,1871957,1889317,1951437,1972995,1989063
甘肃,移动,,1351968,1363938,,1383026,1391916,1471718,1500948,1510178,1521398,1571938,,,1707930,1729972,1783408,1821518,1839308,1841818,1871958,1889318,1951438,1972996,1989064
甘肃,移动,,1351969,1363939,,1383027,1391917,1471719,1500949,1510179,1521399,1571939,,,1707931,1729973,1783409,1821519,1839309,1841819,1871959,1889319,1951439,1973980,1989065
甘肃,移动,,,1364930,,1383028,1391918,1471900,1502580,1510180,1521400,1571960,,,1707932,1729974,1783410,1821520,1839310,1841820,1871960,1889320,1952499,1973981,1989066
