省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,1304830,1314031,1322861,1459285,1552381,1569601,1662391,,1719722,1752391,1762391,1852391,1869651,
重庆,联通,1304831,1314032,1322862,1459286,1552382,1569602,1662392,,1719723,1752392,1762392,1852392,1869652,
重庆,联通,1304832,1314033,1322863,1459287,1552383,1569603,1662393,,1719724,1752393,1762393,1852393,1869653,
重庆,联通,1304833,1314034,1322864,1459288,1552384,1569604,1662394,,1719725,1752394,1762394,1852394,1869654,
重庆,联通,1304834,1314035,1322865,1459289,1552385,1569605,1662395,,1719726,1752395,1762395,1852395,1869655,
重庆,联通,1304835,1314036,1322866,1459290,1552386,1569606,1662396,,1719727,1752396,1762396,1852396,1869656,
重庆,联通,1304836,1314037,1322867,1459291,1552387,1569607,1662397,,1719728,1752397,1762397,1852397,1869657,
重庆,联通,1304837,1314038,1322868,1459292,1552388,1569608,1662398,,1719729,1752398,1762398,1852398,1869658,
重庆,联通,1304838,1314039,1322869,1459293,1552389,1569609,1662399,,,1752399,1762399,1852399,1869659,
重庆,联通,1304839,1316440,1324350,1459294,1552390,1569610,1666230,,,1758100,1764950,1858000,1869660,
重庆,联通,1304840,1316441,1324351,1459295,1552391,1569611,1666231,,,1758101,1764951,1858001,1869661,
重庆,联通,1304841,1316442,1324352,1459296,1552392,1569612,1666232,,,1758102,1764952,1858002,1869662,
重庆,联通,1304842,1316443,1324353,1459297,1552393,1569613,1666233,,,1758103,1764953,1858003,1869663,
重庆,联通,1304843,1316444,1324354,1459298,1552394,1569614,1666234,,,1758104,1764954,1858004,1869664,
重庆,联通,1304844,1316445,1324355,1459299,1552395,1569615,1666235,,,1758105,1764955,1858005,1869665,
重庆,联通,1304845,1316446,1324356,,1552396,1569616,1666236,,,1758106,1764956,1858006,1869666,
重庆,联通,1304846,1316447,1324357,,1552397,1569617,1666237,,,1758107,1764957,1858007,1869667,
重庆,联通,1304847,1316448,1324358,,1552398,1569618,1666238,,,1758108,1764958,1858008,1869668,
重庆,联通,1304848,1316449,1324359,,1552399,1569619,1666239,,,1758109,1764959,1858009,1869669,
重庆,联通,1304849,1316780,1325110,,,1569620,1668100,,,1758110,,1858010,1869670,
重庆,联通,1306020,1316781,1325111,,,1569621,1668101,,,1758111,,1858011,1869671,
重庆,联通,1306021,1316782,1325112,,,1569622,1668102,,,1758112,,1858012,1869672,
重庆,联通,1306022,1316783,1325113,,,1569623,1668103,,,1758113,,1858013,1869673,
重庆,联通,1306023,1316784,1325114,,,1569624,1668104,,,1758114,,1858014,1869674,
重庆,联通,1306024,1316785,1325115,,,1569625,1668105,,,1758115,,1858015,1869675,
重庆,联通,1306025,1316786,1325116,,,1569626,1668106,,,1758116,,1858016,1869676,
重庆,联通,1306026,1316787,1325117,,,1569627,1668107,,,1758117,,1858017,1869677,
重庆,联通,1306027,1316788,1325118,,,1569628,1668108,,,1758118,,1858018,1869678,
重庆,联通,1306028,1316789,1325119,,,1569629,1668109,,,1758119,,1858019,1869679,
重庆,联通,1306029,1316790,1325120,,,1569630,1668110,,,,,1858020,1869680,
重庆,联通,1306230,1316791,1325121,,,1569631,1668111,,,,,1858021,1869681,
重庆,联通,1306231,1316792,1325122,,,1569632,1668112,,,,,1858022,1869682,
