省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
四川,移动,1340408,1350828,1360828,1370818,1380824,1390828,1470288,1500828,1510828,1520828,1570048,1580828,1590828,1650813,1701084,1720826,1780828,1820028,1830828,1840828,1870828,1880288,1950788,1971719,1980828
四川,移动,1340409,1350829,1360829,1370819,1380825,1390829,1470289,1500829,1510829,1520829,1570049,1580829,1590829,1650814,1701085,1720827,1780829,1820029,1830829,1840829,1870829,1880289,1950789,1971770,1980829
四川,移动,1340800,1351810,1361800,1370820,1380826,1390900,1470360,1500830,1510830,1520830,1570050,1580830,1590830,1650815,1701086,1720828,1780830,1820030,1830830,1840830,1870830,1880800,1950810,1971771,1980830
四川,移动,1340801,1351811,1361801,1370821,1380827,1390901,1470361,1500831,1510831,1520831,1570051,1580831,1590831,1650816,1701087,1720829,1780831,1820031,1830831,1840831,1870831,1880801,1950811,1971772,1980831
四川,移动,1340802,1351812,1361802,1370822,1380828,1390902,1470362,1500832,1510832,1520832,1570052,1580832,1590832,1650817,1701088,1720830,1780832,1820032,1830832,1840832,1870832,1880802,1950812,1971773,1980832
四川,移动,1340803,1351813,1361803,1370823,1380829,1390903,1470363,1500833,1510833,1520833,1570053,1580833,1590833,1650818,1701089,1720831,1780833,1820033,1830833,1840833,1870833,1880803,1950813,1971774,1980833
四川,移动,1340804,1351814,1361804,1370824,1388000,1390904,1470364,1500834,1510834,1520834,1570054,1580834,1590834,1650824,1701980,1720832,1780834,1820034,1830834,1840834,1870834,1880804,1950814,1971775,1980834
四川,移动,1340805,1351815,1361805,1370825,1388001,1390905,1470365,1500835,1510835,1520835,1570055,1580835,1590835,1650825,1701981,1720833,1780835,1820035,1830835,1840835,1870835,1880805,1950815,1971776,1980835
四川,移动,1340806,1351816,1361806,1370826,1388002,1390906,1470366,1500836,1510836,1520836,1570056,1580836,1590836,1650826,1701982,1720834,1780836,1820036,1830836,1840836,1870836,1880806,1950816,1971812,1980836
四川,移动,1340807,1351817,1361807,1370827,1388003,1390907,1470367,1500837,1510837,1520837,1570057,1580837,1590837,1650827,1701983,1720835,1780837,1820037,1830837,1840837,1870837,1880807,1950817,1971813,1980837
四川,移动,1340808,1351818,1361808,1370828,1388004,1390908,1470368,1500838,1510838,1520838,1570058,1580838,1590838,1650828,1701984,1720836,1780838,1820038,1830838,1840838,1870838,1880808,1950818,1971816,1980838
四川,移动,1340809,1351819,1361809,1370829,1388005,1390909,1470369,1500839,1510839,1520839,1570059,1580839,1590839,1650830,1701985,1720837,1780839,1820039,1830839,1840839,1870839,1880809,1950819,1971817,1980839
四川,移动,1340810,1351820,1361810,1370900,1388006,1398000,1470370,1500840,1510840,1520840,1570060,1580840,1590840,1650831,1701986,1720838,1782800,1820040,1830840,1842800,1870840,1880810,1950820,1971818,1981280
四川,移动,1340811,1351821,1361811,1370901,1388007,1398001,1470371,1500841,1510841,1520841,1570061,1580841,1590841,1650832,1701987,1720839,1782801,1820041,1830841,1842801,1870841,1880811,1950821,1971825,1981281
四川,移动,1340812,1351822,1361812,1370902,1388008,1398002,1470372,1500842,1510842,1520842,1570062,1580842,1590842,1650833,1701988,1721400,1782802,1820042,1830842,1842802,1870842,1880812,1950822,1971826,1981282
四川,移动,1340813,1351823,1361813,1370903,1388009,1398003,1470373,1500843,1510843,1520843,1570063,1580843,1590843,1650835,1701989,1721401,1782803,1820043,1830843,1842803,1870843,1880813,1950823,1971827,1981283
四川,移动,1340814,1351824,1361814,1370904,1388010,1398004,1470374,1500844,1510844,1520844,1570064,1580844,1590844,1650838,1701990,1721402,1782804,1820044,1830844,1842804,1870844,1880814,1950824,1971830,1981284
四川,移动,1340815,1351825,1361815,1370905,1388011,1398005,1470375,1500845,1510845,1520845,1570065,1580845,1590845,1650839,1701991,1721403,1782805,1820045,1830845,1842805,1870845,1880815,1950825,1971831,1981285
四川,移动,1340816,1351826,1361816,1370906,1388012,1398006,1470376,1500846,1510846,1520846,1570066,1580846,1590846,1650865,1701992,1721404,1782806,1820046,1830846,1842806,1870846,1880816,1950826,1971832,1981286
四川,移动,1340817,1351827,1361817,1370907,1388013,1398007,1470377,1500847,1510847,1520847,1570067,1580847,1590847,1650962,1701993,1721405,1782807,1820047,1830847,1842807,1870847,1880817,1950827,1971833,1981287
四川,移动,1340818,1351828,1361818,1370908,1388014,1398008,1470378,1500848,1510848,1520848,1570068,1580848,1590848,1650963,1701994,1721406,1782808,1820048,1830848,1842808,1870848,1880818,1950828,1971834,1981288
四川,移动,1340819,1351829,1361819,1370909,1388015,1398009,1470379,1500849,1510849,1520849,1570069,1580849,1590849,1650980,1701995,1721407,1782809,1820049,1830849,1842809,1870849,1880819,1950829,1971835,1981289
四川,移动,1340820,1351830,1361900,1373060,1388016,1398010,1470380,1508200,1511400,1522800,1570280,1582800,1592800,1650981,1701996,1721408,1782810,1820050,1832800,1842810,1871570,1880820,1950830,1971836,1981290
四川,移动,1340821,1351831,1361901,1373061,1388017,1398011,1470381,1508201,1511401,1522801,1570281,1582801,1592801,1651028,1701997,1721409,1782811,1820051,1832801,1842811,1871571,1880821,1950831,1971837,1981291
四川,移动,1340822,1351832,1361902,1373062,1388018,1398012,1470382,1508202,1511402,1522802,1570282,1582802,1592802,1651066,1701998,1721410,1782812,1820052,1832802,1842812,1871572,1880822,1950832,1971838,1981292
四川,移动,1340823,1351833,1361903,1373063,1388019,1398013,1470383,1508203,1511403,1522803,1570283,1582803,1592803,1651067,1701999,1721411,1782813,1820053,1832803,1842813,1871573,1880823,1950833,1971839,1981293
四川,移动,1340824,1351834,1361904,1373064,1388020,1398014,1470384,1508204,1511404,1522804,1570284,1582804,1592804,1651068,1702800,1721412,1782814,1820054,1832804,1842814,1871574,1880824,1950834,1971995,1981294
四川,移动,1340825,1351835,1361905,1373065,1388021,1398015,1470385,1508205,1511405,1522805,1570285,1582805,1592805,1651084,1702801,1721413,1782815,1820055,1832805,1842815,1871575,1880825,1950835,1971996,1981295
四川,移动,1340826,1351836,1361906,1373066,1388022,1398016,1470386,1508206,1511406,1522806,1570286,1582806,1592806,1651086,1702802,1721414,1782816,1820056,1832806,1842816,1871576,1880826,1950836,1971997,1981296
四川,移动,1340827,1351837,1361907,1373067,1388023,1398017,1470387,1508207,1511407,1522807,1570287,1582807,1592807,1651130,1702803,1721415,1782817,1820057,1832807,1842817,1871577,1880827,1950837,1971998,1981297
四川,移动,1340828,1351838,1361908,1373068,1388024,1398018,1470388,1508208,1511408,1522808,1570288,1582808,1592808,1651145,1702804,1721416,1782818,1820058,1832808,1842818,1871578,1880828,1950838,1972028,1981298
四川,移动,1340829,1351839,1361909,1373069,1388025,1398019,1470389,1508209,1511409,1522809,1570289,1582809,1592809,1651218,1702805,1721417,1782819,1820059,1832809,1842819,1871579,1880829,1950839,1972081,1981299
四川,移动,1340830,1351840,1362800,1373070,1388026,1398020,1470390,1508210,1518100,1522810,1570810,1582810,1592810,1651228,1702806,1721418,1782820,1820280,1832810,1842820,1871580,1880830,1951170,1972082,1981300
四川,移动,1340831,1351841,1362801,1373071,1388027,1398021,1470391,1508211,1518101,1522811,1570811,1582811,1592811,1651278,1702807,1721419,1782821,1820281,1832811,1842821,1871581,1880831,1951171,1972083,1982290
四川,移动,1340832,1351842,1362802,1373072,1388028,1398022,1470392,1508212,1518102,1522812,1570812,1582812,1592812,1651328,1702808,1721420,1782822,1820282,1832812,1842822,1871582,1880832,1951172,1972184,1982291
四川,移动,1340833,1351843,1362803,1373073,1388029,1398023,1470393,1508213,1518103,1522813,1570813,1582813,1592813,1651396,1702809,1721421,1782823,1820283,1832813,1842823,1871583,1880833,1951173,1972194,1982292
四川,移动,1340834,1351844,1362804,1373074,1388030,1398024,1470394,1508214,1518104,1522814,1570814,1582814,1592814,1651397,1703195,1721422,1782824,1820284,1832814,1842824,1871584,1880834,1951174,1972240,1982293
四川,移动,1340835,1351845,1362805,1373075,1388031,1398025,1470395,1508215,1518105,1522815,1570815,1582815,1592815,1651398,1703196,1721423,1782825,1820285,1832815,1842825,1871585,1880835,1951175,1972241,1982294
四川,移动,1340836,1351846,1362806,1373076,1388032,1398026,1470396,1508216,1518106,1522816,1570816,1582816,1592816,1651501,1703197,1721424,1782826,1820286,1832816,1842826,1871586,1880836,1951176,1972242,1982295
四川,移动,1340837,1351847,1362807,1373077,1388033,1398027,1470397,1508217,1518107,1522817,1570817,1582817,1592817,1651502,1703198,1721425,1782827,1820287,1832817,1842827,1871587,1880837,1951177,1972243,1982296
四川,移动,1340838,1351848,1362808,1373078,1388034,1398028,1470398,1508218,1518108,1522818,1570818,1582818,1592818,1651503,1703199,1721426,1782828,1820288,1832818,1842828,1871588,1880838,1951178,1972244,1982297
四川,移动,1340839,1351849,1362809,1373079,1388035,1398029,1470399,1508219,1518109,1522819,1570819,1582819,1592819,1651505,1703200,1721427,1782829,1820289,1832819,1842829,1871589,1880839,1951179,1972245,1982298
四川,移动,1340840,1354000,1362810,1373080,1388036,1398030,1470600,1508220,1518110,1522820,1570820,1582820,1592820,1651506,1703201,1721428,1782830,1820810,1832820,1842830,1871610,1880840,1951180,1972246,1982299
四川,移动,1340841,1354001,1362811,1373081,1388037,1398031,1470601,1508221,1518111,1522821,1570821,1582821,1592821,1651507,1703202,1721429,1782831,1820811,1832821,1842831,1871611,1880841,1951181,1972247,1982710
四川,移动,1340842,1354002,1362812,1373082,1388038,1398032,1470602,1508222,1518112,1522822,1570822,1582822,1592822,1651508,1703203,1721430,1782832,1820812,1832822,1842832,1871612,1880842,1951182,1972248,1982711
四川,移动,1340843,1354003,1362813,1373083,1388039,1398033,1470603,1508223,1518113,1522823,1570823,1582823,1592823,1651509,1703204,1721431,1782833,1820813,1832823,1842833,1871613,1880843,1951183,1972249,1982712
四川,移动,1340844,1354004,1362814,1373084,1388040,1398034,1470604,1508224,1518114,1522824,1570824,1582824,1592824,1651510,1703205,1721432,1782834,1820814,1832824,1842834,1871614,1880844,1951184,1972304,1982713
四川,移动,1340845,1354005,1362815,1373085,1388041,1398035,1470605,1508225,1518115,1522825,1570825,1582825,1592825,1651512,1703206,1721433,1782835,1820815,1832825,1842835,1871615,1880845,1951185,1972324,1982714
四川,移动,1340846,1354006,1362816,1373086,1388042,1398036,1470606,1508226,1518116,1522826,1570826,1582826,1592826,1651513,1703207,1721434,1782836,1820816,1832826,1842836,1871616,1880846,1951186,1972340,1982715
四川,移动,1340847,1354007,1362817,1373087,1388043,1398037,1470607,1508227,1518117,1522827,1570827,1582827,1592827,1651519,1703208,1721435,1782837,1820817,1832827,1842837,1871617,1880847,1951187,1972341,1982716
