省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
上海,移动,1344212,1352490,1363650,1376199,1381699,1391694,1478243,1480625,1502100,,1522160,1574041,1582130,1592130,,1703149,1721890,1782180,1832180,1844657,1872170,1881760,1953425,,1988819
上海,移动,1344213,1352491,1363651,1376400,1381700,1391695,1478244,1480626,1502101,,1522161,1574042,1582131,1592131,,1703150,1721891,1782181,1832181,1844658,1872171,1881761,1953582,,
上海,移动,1344214,1352492,1363652,1376401,1381701,1391696,1478245,1480627,1502102,,1522162,1574043,1582132,1592132,,1703151,1721892,1782182,1832182,1844659,1872172,1881762,1953583,,
上海,移动,1344215,1352493,1363653,1376402,1381702,1391697,1478246,1480628,1502103,,1522163,1574044,1582133,1592133,,1703152,1721893,1782183,1832183,1844660,1872173,1881763,1953585,,
上海,移动,1344216,1352494,1363654,1376403,1381703,1391698,1478247,1480629,1502104,,1522164,1574045,1582134,1592134,,1703153,1721894,1782184,1832184,1844661,1872174,1881764,1953586,,
上海,移动,1344217,1352495,1363655,1376404,1381704,1391699,1478248,1480630,1502105,,1522165,1574046,1582135,1592135,,1703154,1721895,1782185,1832185,1844662,1872175,1881765,1953587,,
上海,移动,1344218,1352496,1363656,1376405,1381705,1391700,1478249,1480631,1502106,,1522166,1574047,1582136,1592136,,1703155,1721896,1782186,1832186,1844663,1872176,1881766,1953588,,
上海,移动,1344219,1352497,1363657,1376406,1381706,1391701,1478250,1480632,1502107,,1522167,1574048,1582137,1592137,,1703156,1721897,1782187,1832187,1844664,1872177,1881767,1953589,,
上海,移动,1344228,1352498,1363658,1376407,1381707,1391702,1478251,1480633,1502108,,1522168,1574049,1582138,1592138,,1703157,1721898,1782188,1832188,1844665,1872178,1881768,1953699,,
上海,移动,1344233,1352499,1363659,1376408,1381708,1391703,1478252,1480634,1502109,,1522169,1574050,1582139,1592139,,1703158,1721899,1782189,1832189,1844666,1872179,1881769,1953760,,
上海,移动,1344234,1356400,1363660,1376409,1381709,1391704,1478253,1480635,1502110,,1522170,1574051,1582140,1592140,,1703159,1723500,1782190,1832190,1844667,1872180,1881770,1953761,,
上海,移动,1344235,1356401,1363661,1376410,1381710,1391705,1478254,1480636,1502111,,1522171,1574052,1582141,1592141,,1703160,1723501,1782191,1832191,1844668,1872181,1881771,1953762,,
上海,移动,1344236,1356402,1363662,1376411,1381711,1391706,1478255,1480637,1502112,,1522172,1574053,1582142,1592142,,1703161,1723502,1782192,1832192,1844669,1872182,1881772,1953763,,
上海,移动,1344237,1356403,1363663,1376412,1381712,1391707,1478256,1480638,1502113,,1522173,1574054,1582143,1592143,,1703162,1723503,1782193,1832193,1844670,1872183,1881773,1953788,,
上海,移动,1344239,1356404,1363664,1376413,1381713,1391708,1478257,1480639,1502114,,1522174,1574055,1582144,1592144,,1703163,1723504,1782194,1832194,1844671,1872184,1881774,1953886,,
上海,移动,1344240,1356405,1363665,1376414,1381714,1391709,1478258,1481080,1502115,,1522175,1574056,1582145,1592145,,1703164,1723505,1782195,1832195,1844672,1872185,1881775,1953888,,
上海,移动,1344241,1356406,1363666,1376415,1381715,1391710,1478259,1481081,1502116,,1522176,1574057,1582146,1592146,,1703165,1723506,1782196,1832196,1844673,1872186,1881776,1953946,,
上海,移动,1344242,1356407,1363667,1376416,1381716,1391711,1478260,1481082,1502117,,1522177,1574058,1582147,1592147,,1703166,1723507,1782197,1832197,1844674,1872187,1881777,1953947,,
上海,移动,1344243,1356408,1363668,1376417,1381717,1391712,1478261,1481083,1502118,,1522178,1574059,1582148,1592148,,1703167,1723508,1782198,1832198,1844675,1872188,1881778,1953948,,
上海,移动,1344244,1356409,1363669,1376418,1381718,1391713,1478262,1481084,1502119,,1522179,1574060,1582149,1592149,,1703168,1723509,1782199,1832199,1844676,1872189,1881779,1953949,,
上海,移动,1344245,1356410,1364160,1376419,1381719,1391714,1478263,1481085,1502120,,1522180,1574061,1582150,1592150,,1703169,1723510,1788790,,1844677,1872190,1881780,1954270,,
上海,移动,1344246,1356411,1364161,1376420,1381720,1391715,1478264,1481086,1502121,,1522181,1574062,1582151,1592151,,1703170,1723511,1788791,,1844678,1872191,1881781,1954271,,
上海,移动,1344247,1356412,1364162,1376421,1381721,1391716,1478265,1481087,1502122,,1522182,1574063,1582152,1592152,,1703171,1723512,1788792,,1844679,1872192,1881782,1954272,,
上海,移动,1344248,1356413,1364163,1376422,1381722,1391717,1478266,1481088,1502123,,1522183,1574064,1582153,1592153,,1703172,1723513,1788793,,1844680,1872193,1881783,1954273,,
上海,移动,1344249,1356414,1364164,1376423,1381723,1391718,1478267,1481089,1502124,,1522184,1574065,1582154,1592154,,1703173,1723514,1788794,,1844681,1872194,1881784,1954274,,
上海,移动,1344250,1356415,1364165,1376424,1381724,1391719,1478268,1481090,1502125,,1522185,1574066,1582155,1592155,,1703174,1723515,1788795,,1844682,1872195,1881785,1954275,,
上海,移动,1344251,1356416,1364166,1376425,1381725,1391720,1478269,1481091,1502126,,1522186,1574067,1582156,1592156,,1703175,1723516,1788796,,1844683,1872196,1881786,1954276,,
上海,移动,1344252,1356417,1364167,1376426,1381726,1391721,1478270,1481092,1502127,,1522187,1574068,1582157,1592157,,1703176,1723517,1788797,,1844684,1872197,1881787,1954277,,
上海,移动,1344253,1356418,1364168,1376427,1381727,1391722,1478271,1481093,1502128,,1522188,1574069,1582158,1592158,,1703177,1723518,1788798,,1844685,1872198,1881788,1954278,,
上海,移动,1344256,1356419,1364169,1376428,1381728,1391723,1478272,1481094,1502129,,1522189,1574070,1582159,1592159,,1703178,1723519,1788799,,1844686,1872199,1881789,1954279,,
上海,移动,1344258,1356420,1364170,1376429,1381729,1391724,1478273,1481725,1502130,,1522190,1574071,1582160,1592160,,1703179,1723520,1789190,,1844687,,1881790,1954280,,
上海,移动,1344259,1356421,1364171,1376430,1381730,1391725,1478274,1481726,1502131,,1522191,1574072,1582161,1592161,,1703180,1723521,1789191,,1844688,,1881791,1954281,,
上海,移动,1344260,1356422,1364172,1376431,1381731,1391726,1478275,1481727,1502132,,1522192,1574073,1582162,1592162,,1703181,1723522,1789192,,1844689,,1881792,1954282,,
上海,移动,1344261,1356423,1364173,1376432,1381732,1391727,1478276,1481728,1502133,,1522193,1574074,1582163,1592163,,1703182,1723523,1789193,,1844690,,1881793,1954283,,
上海,移动,1344262,1356424,1364174,1376433,1381733,1391728,1478277,1481729,1502134,,1522194,1574075,1582164,1592164,,1703183,1723524,1789194,,1844691,,1881794,1954284,,
上海,移动,1344264,1356425,1364175,1376434,1381734,1391729,1478278,1481730,1502135,,1522195,1574076,1582165,1592165,,1703184,1723525,1789195,,1844692,,1881795,1954285,,
上海,移动,1344265,1356426,1364176,1376435,1381735,1391730,1478279,1481731,1502136,,1522196,1574077,1582166,1592166,,1703185,1723526,1789196,,1844693,,1881796,1954286,,
上海,移动,1344267,1356427,1364177,1376436,1381736,1391731,1478280,1481732,1502137,,1522197,1574078,1582167,1592167,,1703186,1723527,1789197,,1844694,,1881797,1954287,,
上海,移动,1344268,1356428,1364178,1376437,1381737,1391732,1478281,1481733,1502138,,1522198,1574079,1582168,1592168,,1703187,1723528,1789198,,1844695,,1881798,1954288,,
上海,移动,1344271,1356429,1364179,1376438,1381738,1391733,1478282,1481734,1502139,,1522199,1574080,1582169,1592169,,1703188,1723529,1789199,,1844696,,1881799,1954289,,
上海,移动,1344272,1356430,1364180,1376439,1381739,1391734,1478283,1481735,1502140,,,1574081,1582170,1592170,,1703189,1723530,1789400,,1844697,,1881800,1954290,,
上海,移动,1344273,1356431,1364181,1376440,1381740,1391735,1478284,1481736,1502141,,,1574082,1582171,1592171,,1703190,1723531,1789401,,1844698,,1881801,1954291,,
上海,移动,1344274,1356432,1364182,1376441,1381741,1391736,1478285,1481737,1502142,,,1574083,1582172,1592172,,1703191,1723532,1789402,,1844699,,1881802,1954292,,
上海,移动,1344275,1356433,1364183,1376442,1381742,1391737,1478286,1481738,1502143,,,1574084,1582173,1592173,,1703192,1723533,1789403,,1846660,,1881803,1954293,,
上海,移动,1344276,1356434,1364184,1376443,1381743,1391738,1478287,1481739,1502144,,,1574085,1582174,1592174,,1703193,1723534,1789404,,1846661,,1881804,1954294,,
上海,移动,1344277,1356435,1364185,1376444,1381744,1391739,1478288,1481740,1502145,,,1574086,1582175,1592175,,1703194,1723535,1789405,,1846662,,1881805,1954295,,
