省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
广东,联通,1300510,1310675,1320247,1452947,1460597,1552117,1560267,1660757,1670760,1711887,1750767,1760767,1850767,1861307,1961207
广东,联通,1300511,1310676,1320248,1452948,1460598,1552118,1560268,1660758,1670762,1711888,1750768,1760768,1850768,1861308,1961208
广东,联通,1300512,1310677,1320249,1452949,1460599,1552119,1560269,1660759,1670763,1711889,1750769,1760769,1850769,1861309,1961209
广东,联通,1300513,1310678,1320250,1452950,1460600,1552120,1560270,1660760,1670768,1712070,1751120,1761200,1851200,1861310,1966600
广东,联通,1300514,1310679,1320251,1452951,1460601,1552121,1560271,1660761,1670769,1712071,1751121,1761201,1851201,1861311,1966601
广东,联通,1300515,1310680,1320252,1452952,1460602,1552122,1560272,1660762,1671750,1712072,1751122,1761202,1851202,1861312,1966602
广东,联通,1300516,1310681,1320253,1452953,1460603,1552123,1560273,1660763,1671751,1712073,1751123,1761203,1851203,1861313,1966603
广东,联通,1300517,1310682,1320254,1452954,1460604,1552124,1560274,1660764,1671752,1712074,1751124,1761204,1851204,1861314,1966604
广东,联通,1300518,1310683,1320255,1452955,1460605,1552125,1560275,1660765,1671753,1712075,1751125,1761205,1851205,1861315,1966605
广东,联通,1300519,1310684,1320256,1452956,1460606,1552126,1560276,1660766,1671754,1712076,1751126,1761206,1851206,1861316,1966606
广东,联通,1300520,1310685,1320257,1452957,1460607,1552127,1560277,1660767,1671755,1712077,1751127,1761207,1851207,1861317,1966607
广东,联通,1300521,1310686,1320258,1452958,1460608,1552128,1560278,1660768,1671756,1712078,1751128,1761208,1851208,1861318,1966608
广东,联通,1300522,1310687,1320259,1452959,1460609,1552129,1560279,1660769,1671757,1712079,1751129,1761209,1851209,1861319,1966609
广东,联通,1300523,1310688,1320260,1452960,1460610,1552130,1560280,1661200,1671758,1712880,1751130,1761911,1851260,1861700,1966610
广东,联通,1300524,1310689,1320261,1452961,1460611,1552131,1560281,1661201,1671759,1712881,1751131,1761997,1851261,1861701,1966611
广东,联通,1300525,1310690,1320262,1452962,1460612,1552132,1560282,1661202,1671760,1712882,1751132,1762000,1851262,1861702,1966612
广东,联通,1300526,1310691,1320263,1452963,1460613,1552133,1560283,1661203,1671761,1712883,1751133,1762001,1851263,1861703,1966613
广东,联通,1300527,1310692,1320264,1452964,1460614,1552134,1560284,1661204,1671762,1712884,1751134,1762002,1851264,1861704,1966614
广东,联通,1300528,1310693,1320265,1452965,1460615,1552135,1560285,1661205,1671763,1712885,1751135,1762003,1851265,1861705,1966615
广东,联通,1300529,1310694,1320266,1452966,1460616,1552136,1560286,1661206,1671764,1712886,1751136,1762004,1851266,1861706,1966616
广东,联通,1300530,1310695,1320267,1452967,1460617,1552137,1560287,1661207,1671765,1712887,1751137,1762005,1851267,1861707,1966617
广东,联通,1300531,1310696,1320268,1452968,1460618,1552138,1560288,1661208,1671766,1712888,1751138,1762006,1851268,1861708,1966618
广东,联通,1300532,1310697,1320269,1452969,1460619,1552139,1560289,1661209,1671767,1712889,1751139,1762007,1851269,1861709,1966619
广东,联通,1300533,1310698,1320270,1452970,1460620,1552140,1560290,1661660,1671768,1713080,1751180,1762008,1852000,1861710,1966620
广东,联通,1300534,1310699,1320271,1452971,1460621,1552141,1560291,1661661,1671769,1713081,1751181,1762009,1852001,1861711,1966621
广东,联通,1300535,1311200,1320272,1452972,1460622,1552142,1560292,1661662,1671940,1713082,1751182,1762010,1852002,1861712,1966622
广东,联通,1300536,1311201,1320273,1452973,1460623,1552143,1560293,1661663,1671941,1713083,1751183,1762011,1852003,1861713,1966623
广东,联通,1300537,1311202,1320274,1452974,1460624,1552144,1560294,1661664,1671942,1713084,1751184,1762012,1852004,1861714,1966624
广东,联通,1300538,1311203,1320275,1452975,1460625,1552145,1560295,1661665,1671943,1713085,1751185,1762013,1852005,1861715,1966625
广东,联通,1300539,1311204,1320276,1452976,1460626,1552146,1560296,1661666,1671944,1713086,1751186,1762014,1852006,1861716,1966626
广东,联通,1300540,1311205,1320277,1452977,1460627,1552147,1560297,1661667,1671945,1713087,1751187,1762015,1852007,1861717,1966627
广东,联通,1300541,1311206,1320278,1452978,1460628,1552148,1560298,1661668,1671946,1713088,1751188,1762016,1852008,1861718,1966628
广东,联通,1300542,1311207,1320279,1452979,1460629,1552149,1560299,1661669,1671947,1713089,1751189,1762017,1852009,1861719,1966629
广东,联通,1300543,1311208,1320280,1452980,1460630,1552150,1560300,1661670,1671948,1713660,1751190,1762018,1852010,1861720,1966630
