省份,运营商,133 号段,141 号段,149 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
广东,电信,1330270,,,1530270,1629206,1730440,,1770750,1800267,1810280,1890260,1902068,1912000,1930680,1990270
广东,电信,1330271,,,1530271,1629750,1730441,,1770751,1800268,1810281,1890261,1902069,1912001,1930681,1990271
广东,电信,1330272,,,1530272,1629751,1730442,,1770752,1800269,1810282,1890262,1902073,1912002,1930682,1990272
广东,电信,1330273,,,1530273,1629752,1730443,,1770753,1800270,1810283,1890263,1902076,1912003,1930683,1990273
广东,电信,1330274,,,1530274,1629753,1730444,,1770754,1800271,1810284,1890264,1902078,1912004,1930684,1990274
广东,电信,1330275,,,1530275,1629754,1730445,,1770755,1800272,1810285,1890265,1902079,1912005,1930685,1990275
广东,电信,1330276,,,1530276,1629756,1730446,,1770756,1800273,1810286,1890266,1902084,1912006,1930686,1990276
广东,电信,1330277,,,1530277,1629757,1730447,,1770757,1800274,1810287,1890267,1902087,1912007,1930687,1990277
广东,电信,1330278,,,1530278,1629758,1730448,,1770758,1800275,1810288,1890268,1902092,1912008,1930688,1990278
广东,电信,1330279,,,1530279,1629759,1730449,,1770759,1800276,1810289,1890269,1902095,1912009,1930689,1990279
广东,电信,1330280,,,1530280,1629760,1730660,,1770760,1800277,1810290,1890270,1902097,1912010,1930750,1990280
广东,电信,1330281,,,1530281,1629761,1730661,,1770761,1800278,1810291,1890271,1902200,1912011,1930751,1990281
广东,电信,1330282,,,1530282,1629762,1730662,,1770762,1800279,1810292,1890272,1902201,1912012,1930752,1990282
广东,电信,1330283,,,1530283,1629763,1730663,,1770763,1800280,1810293,1890273,1902202,1912013,1930753,1990283
广东,电信,1330284,,,1530284,1629764,1730664,,1770764,1800281,1810294,1890274,1902203,1912014,1930754,1990284
广东,电信,1330285,,,1530285,1629767,1730665,,1770765,1800282,1810295,1890275,1902204,1912015,1930755,1990285
广东,电信,1330286,,,1530286,1629768,1730666,,1770766,1800283,1810296,1890276,1902205,1912016,1930756,1990286
广东,电信,1330287,,,1530287,1629769,1730667,,1770767,1800284,1810297,1890277,1902206,1912017,1930757,1990287
广东,电信,1330288,,,1530288,,1730668,,1770768,1800285,1810298,1890278,1902207,1912018,1930758,1990288
广东,电信,1330289,,,1530289,,1730669,,1770769,1800286,1810299,1890279,1902208,1912019,1930759,1990289
广东,电信,1330290,,,1530290,,1730750,,1770820,1800287,1810300,1890280,1902209,1912020,1930760,1990290
广东,电信,1330291,,,1530291,,1730751,,1770821,1800288,1810301,1890281,1902210,1912021,1930761,1990291
广东,电信,1330292,,,1530292,,1730752,,1770822,1800289,1810302,1890282,1902211,1912022,1930762,1990292
广东,电信,1330293,,,1530293,,1730753,,1770823,1800290,1810303,1890283,1902212,1912023,1930763,1990293
广东,电信,1330294,,,1530294,,1730754,,1770824,1800291,1810304,1890284,1902213,1912024,1930764,1990294
广东,电信,1330295,,,1530295,,1730755,,1770825,1800292,1810305,1890285,1902214,1912025,1930765,1990295
广东,电信,1330296,,,1530296,,1730756,,1770826,1800293,1810306,1890286,1902215,1912026,1930766,1990296
广东,电信,1330297,,,1530297,,1730757,,1770827,1800294,1810307,1890287,1902216,1912027,1930767,1990297
广东,电信,1330298,,,1530298,,1730758,,1770828,1800295,1810308,1890288,1902217,1912028,1930768,1990298
广东,电信,1330299,,,1530299,,1730759,,1770829,1800296,1810309,1890289,1902218,1912029,1930769,1990299
广东,电信,1331080,,,1530300,,1730760,,1770860,1800297,1810750,1890290,1902219,1912030,1932870,1990300
广东,电信,1331081,,,1530301,,1730761,,1770861,1800298,1810751,1890291,1902233,1912031,1932871,1990301
广东,电信,1331082,,,1530302,,1730762,,1770862,1800299,1810752,1890292,1902234,1912032,1932872,1990302
广东,电信,1331083,,,1530303,,1730763,,1770863,1800300,1810753,1890293,1902235,1912033,1932873,1990303
广东,电信,1331084,,,1530304,,1730764,,1770864,1800301,1810754,1890294,1902236,1912034,1932874,1990304
