省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
海南,移动,,1369752,,1387651,1397650,,,,1512092,1529892,1577892,,,1709820,,1789982,1828962,1838982,1841772,1878972,1888912,1958985,,
海南,移动,,1369753,,1387652,1397651,,,,1512093,1529893,1577893,,,1709821,,1789983,1828963,1838983,1841773,1878973,1888913,1958986,,
海南,移动,,1369754,,1387653,1397652,,,,1512094,1529894,1577894,,,1709822,,1789984,1828964,1838984,1841774,1878974,1888914,1958987,,
海南,移动,,1369755,,1387654,1397653,,,,1512095,1529895,1577895,,,1709823,,1789985,1828965,1838985,1841775,1878975,1888915,1958988,,
海南,移动,,1369756,,1387655,1397654,,,,1512096,1529896,1577896,,,1709824,,1789986,1828966,1838986,1841776,1878976,1888916,1958989,,
海南,移动,,1369757,,1387656,1397655,,,,1512097,1529897,1577897,,,1709825,,1789987,1828967,1838987,1841777,1878977,1888917,,,
海南,移动,,1369758,,1387657,1397656,,,,1512098,1529898,1577898,,,1709826,,1789988,1828968,1838988,1841778,1878978,1888918,,,
海南,移动,,1369759,,1387658,1397657,,,,1512099,1529899,1577899,,,1709827,,1789989,1828969,1838989,1841779,1878979,1888919,,,
海南,移动,,1369890,,1387659,1397658,,,,,,1579046,,,1709828,,,1828970,1838990,1848900,1878980,1888920,,,
海南,移动,,1369891,,1387660,1397659,,,,,,1579047,,,1709829,,,1828971,1838991,1848901,1878981,1888921,,,
海南,移动,,1369892,,1387661,1397660,,,,,,1579048,,,,,,1828972,1838992,1848902,1878982,1888922,,,
海南,移动,,1369893,,1387662,1397661,,,,,,1579049,,,,,,1828973,1838993,1848903,1878983,1888923,,,
海南,移动,,1369894,,1387663,1397662,,,,,,1579062,,,,,,1828974,1838994,1848904,1878984,1888924,,,
海南,移动,,1369895,,1387664,1397663,,,,,,1579073,,,,,,1828975,1838995,1848905,1878985,1888925,,,
