省份,运营商,133 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
浙江,电信,1333612,1532543,1626838,1734203,,1775763,1805733,1815765,1895793,1903243,,1936383,1995743
浙江,电信,1333613,1532544,1626839,1734204,,1775764,1805734,1815766,1895794,1903244,,1936384,1995744
浙江,电信,1333614,1532545,1627747,1734205,,1775765,1805735,1815767,1895795,1903245,,1936385,1995745
浙江,电信,1333615,1532546,1627748,1734206,,1775766,1805736,1815768,1895796,1903246,,1936386,1995746
浙江,电信,1333616,1532547,1627749,1734207,,1775767,1805737,1815769,1895797,1903247,,1936387,1995747
浙江,电信,1333617,1532548,1627801,1734208,,1775768,1805738,1815770,1895798,1903248,,1936388,1995748
浙江,电信,1333618,1532549,1627802,1734209,,1775769,1805739,1815771,1895799,1903249,,1936390,1995749
浙江,电信,1333619,1532550,1627803,1734680,,1775770,1805740,1815772,1895800,1903250,,1936391,1995750
浙江,电信,1333660,1532551,1627804,1734681,,1775771,1805741,1815773,1895801,1903251,,1936392,1995751
浙江,电信,1333661,1532552,1627805,1734682,,1775772,1805742,1815774,1895802,1903252,,1936393,1995752
浙江,电信,1333662,1532553,1627806,1734683,,1775773,1805743,1815775,1895803,1903253,,1936394,1995753
浙江,电信,1333663,1532554,1627807,1734684,,1775774,1805744,1815776,1895804,1903254,,1936395,1995754
浙江,电信,1333664,1532555,1627808,1734685,,1775775,1805745,1815777,1895805,1903255,,1936919,1995755
浙江,电信,1333665,1532556,1627809,1734686,,1775776,1805746,1815778,1895806,1903256,,,1995756
浙江,电信,1333666,1532557,1627812,1734687,,1775777,1805747,1815779,1895807,1903257,,,1995757
浙江,电信,1333667,1532558,1627813,1734688,,1775778,1805748,1815780,1895808,1903258,,,1995758
浙江,电信,1333668,1532559,1627814,1734689,,1775779,1805749,1815781,1895809,1903259,,,1995759
浙江,电信,1333669,1532560,1627815,1734850,,1775780,1805750,1815782,1895810,1903390,,,1995760
浙江,电信,1333670,1532561,1627816,1734851,,1775781,1805751,1815783,1895811,1903391,,,1995761
浙江,电信,1333671,1532562,1627817,1734852,,1775782,1805752,1815784,1895812,1903392,,,1995762
浙江,电信,1333672,1532563,1627818,1734853,,1775783,1805753,1815785,1895813,1903393,,,1995763
浙江,电信,1333673,1532564,1627819,1734854,,1775784,1805754,1815786,1895814,1903394,,,1995764
浙江,电信,1333674,1532565,1627820,1734855,,1775785,1805755,1815787,1895815,1903395,,,1995765
浙江,电信,1333675,1532566,1627821,1734856,,1775786,1805756,1815788,1895816,1903396,,,1995766
浙江,电信,1333676,1532567,1627823,1734857,,1775787,1805757,1815789,1895817,1903397,,,1995767
浙江,电信,1333677,1532568,1627824,1734858,,1775788,1805758,1815790,1895818,1903398,,,1995768
浙江,电信,1333678,1532569,1627825,1734859,,1775789,1805759,1815791,1895819,1903399,,,1995769
浙江,电信,1333679,1532570,1627826,1734860,,1775790,1805760,1815792,1895820,1903450,,,1995770
浙江,电信,1333680,1532571,1627827,1734861,,1775791,1805761,1815793,1895821,1903451,,,1995771
浙江,电信,1333681,1532572,1627828,1734862,,1775792,1805762,1815794,1895822,1903452,,,1995772
浙江,电信,1333682,1532573,1627829,1734863,,1775793,1805763,1815795,1895823,1903453,,,1995773
浙江,电信,1333683,1532574,1627830,1734864,,1775794,1805764,1815796,1895824,1903454,,,1995774
浙江,电信,1333684,1532575,1627831,1734865,,1775795,1805765,1815797,1895825,1903455,,,1995775
浙江,电信,1333685,1532576,1627832,1734866,,1775796,1805766,1815798,1895826,1903456,,,1995776
浙江,电信,1333686,1532577,1627844,1734867,,1775797,1805767,1815799,1895827,1903457,,,1995777
浙江,电信,1333687,1532578,1627845,1734868,,1775798,1805768,1815800,1895828,1903458,,,1995778
浙江,电信,1333688,1532579,1627846,1734869,,1775799,1805769,1815801,1895829,1903459,,,1995779
浙江,电信,1333689,1532580,1627847,1734870,,1775800,1805770,1815802,1895830,1903460,,,1995780
浙江,电信,1333690,1532581,1627848,1734871,,1775801,1805771,1815803,1895831,1903461,,,1995781
浙江,电信,1333691,1532582,1627849,1734872,,1775802,1805772,1815804,1895832,1903462,,,1995782
浙江,电信,1333692,1532583,1627850,1734873,,1775803,1805773,1815805,1895833,1903463,,,1995783
浙江,电信,1333693,1532584,1627851,1734874,,1775804,1805774,1815806,1895834,1903464,,,1995784
浙江,电信,1333694,1532585,1627852,1734875,,1775805,1805775,1815807,1895835,1903465,,,1995785
浙江,电信,1333695,1532586,1627853,1734876,,1775806,1805776,1815808,1895836,1903466,,,1995786
浙江,电信,1333696,1532587,1627854,1734877,,1775807,1805777,1815809,1895837,1903467,,,1995787
浙江,电信,1333697,1532588,1627856,1734878,,1775808,1805778,1815810,1895838,1903468,,,1995788
浙江,电信,1333698,1532589,1627857,1734879,,1775809,1805779,1815811,1895839,1903469,,,1995789
浙江,电信,1333699,1532590,1627858,1734880,,1775810,1805780,1815812,1895840,1903470,,,1995790
浙江,电信,1334570,1532591,1627859,1734881,,1775811,1805781,1815813,1895841,1903471,,,1995791
浙江,电信,1334571,1532592,1627986,1734882,,1775812,1805782,1815814,1895842,1903472,,,1995792
浙江,电信,1334572,1532593,1627989,1734883,,1775813,1805783,1815815,1895843,1903473,,,1995793
浙江,电信,1334573,1532594,1627992,1734884,,1775814,1805784,1815816,1895844,1903474,,,1995794
浙江,电信,1334574,1532595,1627993,1734885,,1775815,1805785,1815817,1895845,1903475,,,1995795
浙江,电信,1334575,1532596,1627994,1734886,,1775816,1805786,1815818,1895846,1903476,,,1995796
浙江,电信,1334576,1532597,1627995,1734887,,1775817,1805787,1815819,1895847,1903477,,,1995797
浙江,电信,1334577,1532598,1627996,1734888,,1775818,1805788,1815820,1895848,1903478,,,1995798
浙江,电信,1334578,1532599,1627998,1734889,,1775819,1805789,1815821,1895849,1903479,,,1995799
浙江,电信,1334579,1533650,1629570,1734890,,1775820,1805790,1815822,1895850,1904560,,,1996730
浙江,电信,1334580,1533651,1629571,1734891,,1775821,1805791,1815823,1895851,1904561,,,1996731
浙江,电信,1334581,1533652,1629572,1734892,,1775822,1805792,1815824,1895852,1904562,,,1996732
浙江,电信,1334582,1533653,1629573,1734893,,1775823,1805793,1815825,1895853,1904563,,,1996733
浙江,电信,1334583,1533654,1629574,1734894,,1775824,1805794,1815826,1895854,1904564,,,1996734
浙江,电信,1334584,1533655,1629575,1734895,,1775825,1805795,1815827,1895855,1904565,,,1996735
浙江,电信,1334585,1533656,1629576,1734896,,1775826,1805796,1815828,1895856,1904566,,,1996736
浙江,电信,1334586,1533657,1629578,1734897,,1775827,1805797,1815829,1895857,1904567,,,1996737
浙江,电信,1334587,1533658,1629579,1734898,,1775828,1805798,1815830,1895858,1904568,,,1996738
浙江,电信,1334588,1533659,1629580,1734899,,1775829,1805799,1815831,1895859,1904569,,,1996739
浙江,电信,1334589,1533660,1629581,1735470,,1775830,1805800,1815832,1895860,1904570,,,1996740
浙江,电信,1334590,1533661,1629582,1735471,,1775831,1805801,1815833,1895861,1904571,,,1996741
浙江,电信,1334591,1533662,1629583,1735472,,1775832,1805802,1815834,1895862,1904572,,,1996742
浙江,电信,1334592,1533663,1629584,1735473,,1775833,1805803,1815835,1895863,1904573,,,1996743
浙江,电信,1334593,1533664,1629585,1735474,,1775834,1805804,1815836,1895864,1904574,,,1996744
浙江,电信,1334594,1533665,1629586,1735475,,1775835,1805805,1815837,1895865,1904575,,,1996745
浙江,电信,1334595,1533666,1629587,1735476,,1775836,1805806,1815838,1895866,1904576,,,1996746
浙江,电信,1334596,1533667,1629589,1735477,,1775837,1805807,1815839,1895867,1904577,,,1996747
浙江,电信,1334597,1533668,1629597,1735478,,1775838,1805808,1815840,1895868,1904578,,,1996748
浙江,电信,1334598,1533669,1629598,1735479,,1775839,1805809,1815841,1895869,1904579,,,1996749
浙江,电信,1334599,1533670,,1735700,,1776450,1805810,1815842,1895870,1904580,,,1997520
浙江,电信,1334600,1533671,,1735701,,1776451,1805811,1815843,1895871,1904581,,,1997521
浙江,电信,1334601,1533672,,1735702,,1776452,1805812,1815844,1895872,1904582,,,1997522
浙江,电信,1334602,1533673,,1735703,,1776453,1805813,1815845,1895873,1904583,,,1997523
浙江,电信,1334603,1533674,,1735704,,1776454,1805814,1815846,1895874,1904584,,,1997524
浙江,电信,1334604,1533675,,1735705,,1776455,1805815,1815847,1895875,1904585,,,1997525
浙江,电信,1334605,1533676,,1735706,,1776456,1805816,1815848,1895876,1904586,,,1997526
浙江,电信,1334606,1533677,,1735707,,1776457,1805817,1815849,1895877,1904587,,,1997527
浙江,电信,1334607,1533678,,1735708,,1776458,1805818,1815850,1895878,1904588,,,1997528
浙江,电信,1334608,1533679,,1735709,,1776459,1805819,1815851,1895879,1904589,,,1997529
浙江,电信,1334609,1533680,,1735710,,1776700,1805820,1815852,1895880,1905700,,,1997530
浙江,电信,1334610,1533681,,1735711,,1776701,1805821,1815853,1895881,1905701,,,1997531
浙江,电信,1334611,1533682,,1735712,,1776702,1805822,1815854,1895882,1905702,,,1997532
浙江,电信,1334612,1533683,,1735713,,1776703,1805823,1815855,1895883,1905703,,,1997533
浙江,电信,1334613,1533684,,1735714,,1776704,1805824,1815856,1895884,1905704,,,1997534
浙江,电信,1334614,1533685,,1735715,,1776705,1805825,1815857,1895885,1905705,,,1997535
浙江,电信,1334615,1533686,,1735716,,1776706,1805826,1815858,1895886,1905706,,,1997536
